SUID,annotation name,annotations,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Ensembl Gene ID,Ensembl Protein ID,Entrez Gene ID,gene name,log score,name,node type,Radiality unDir,RefSeq mRNA ID,RefSeq Protein ID,score,selected,shared name,Stress unDir,Synonym,Uniprot ID
5609,,,28.7385337,2.764916441,-106,0.002183406,23,0.333333333,0.034671129,,,,BIOCARTA_CTCF_PATHWAY,,H__sapiens__2_-BIOCARTA_CTCF_PATHWAY,attribute,2.034334764,,,0.036822383,FALSE,H__sapiens__2_-BIOCARTA_CTCF_PATHWAY,432,,
5611,,,30.94258292,2.775042002,-101,0.002207506,23,0.333333333,0.033864392,,,,Apoptosis,,H__sapiens__2_-Apoptosis,attribute,2.055793991,,,0.019126136,FALSE,H__sapiens__2_-Apoptosis,510,,
5613,,,241.5621757,4.263407832,-60,0.002427184,54,0.5,0.082562863,,,,Pathways in cancer,,H__sapiens__2_-Pathways in cancer,attribute,2.231759657,,,0.018312646,FALSE,H__sapiens__2_-Pathways in cancer,3240,,
5615,,,43.74987031,3.303490455,-97,0.002227171,27,0.333333333,0.043260468,,,,Prostate cancer,,H__sapiens__2_-Prostate cancer,attribute,2.072961373,,,0.017271589,FALSE,H__sapiens__2_-Prostate cancer,698,,
5617,,,276.2455099,5.517917076,-75,0.002336449,40,0.333333333,0.052360604,,,,AndrogenReceptor,,H__sapiens__2_-AndrogenReceptor,attribute,2.163090129,,,0.022319118,FALSE,H__sapiens__2_-AndrogenReceptor,3544,,
5620,,,103.9879575,5.52386361,-95,0.002237136,29,0.333333333,0.051943542,,,,BARD1 signaling events,,H__sapiens__2_-BARD1 signaling events,attribute,2.081545064,,,0.06141333,FALSE,H__sapiens__2_-BARD1 signaling events,1756,,
5624,,,29.0825337,4.651343594,-103,0.002197802,20,0.333333333,0.038920901,,,,BIOCARTA_ATM_PATHWAY,,H__sapiens__2_-BIOCARTA_ATM_PATHWAY,attribute,2.0472103,,,0.095331398,FALSE,H__sapiens__2_-BIOCARTA_ATM_PATHWAY,540,,
5628,,,18.50941599,2.155869412,-105,0.00212766,22,0.333333333,0.039092744,,,,Double-Strand Break Repair,,H__sapiens__2_-Double-Strand Break Repair,attribute,1.982832618,,,0.027710481,FALSE,H__sapiens__2_-Double-Strand Break Repair,276,,
5632,,,6.703581984,1.601402105,-116,0.002053388,16,0.333333333,0.030523844,,,,Homologous Recombination Repair,,H__sapiens__2_-Homologous Recombination Repair,attribute,1.909871245,,,0.046992545,FALSE,H__sapiens__2_-Homologous Recombination Repair,106,,
5634,,,41.30391701,4.668385102,-108,0.002173913,21,0.333333333,0.038358387,,,,BIOCARTA_ATRBRCA_PATHWAY,,H__sapiens__2_-BIOCARTA_ATRBRCA_PATHWAY,attribute,2.025751073,,,0.146985897,FALSE,H__sapiens__2_-BIOCARTA_ATRBRCA_PATHWAY,546,,
5636,,,6.703581984,1.601402105,-116,0.002053388,16,0.333333333,0.030523844,,,,Homologous recombination repair of ...,,H__sapiens__2_-Homologous recombination repair of ...,attribute,1.909871245,,,0.046992545,FALSE,H__sapiens__2_-Homologous recombination repair of ...,106,,
5639,,,74.53875246,5.61097124,-98,0.002222222,24,0.333333333,0.044811648,,,,BIOCARTA_G2_PATHWAY,,H__sapiens__2_-BIOCARTA_G2_PATHWAY,attribute,2.068669528,,,0.053593289,FALSE,H__sapiens__2_-BIOCARTA_G2_PATHWAY,1590,,
5644,,,49.36369012,3.745503003,-95,0.002237136,24,0.333333333,0.039248654,,,,p53 pathway,,H__sapiens__2_-p53 pathway,attribute,2.081545064,,,0.024695195,FALSE,H__sapiens__2_-p53 pathway,744,,
5646,,,717.0565338,5.439681829,-48,0.0025,68,0.333333333,0.089183589,,,,p53 signaling pathway,,H__sapiens__2_-p53 signaling pathway,attribute,2.283261803,,,0.061566639,FALSE,H__sapiens__2_-p53 signaling pathway,7350,,
5662,,,2.406831183,0.866092436,-124,0.002004008,13,0.333333333,0.025256389,,,,Fanconi Anemia pathway,,H__sapiens__2_-Fanconi Anemia pathway,attribute,1.858369099,,,0.022613353,FALSE,H__sapiens__2_-Fanconi Anemia pathway,70,,
